,0,1,2,3
28,PRESIDENTE," Muchas gracias, ministra. Pasamos al turno de los grupos, de menor a mayor, empezando por el Grupo Parlamentario Mixto, que se reparten el tiempo en dos intervenciones. Empezamos por Coalición Canaria. Tiene la palabra la señora Oramas González-Moro. ",2020-06-09,100
29,ORAMAS GONZÁLEZ-MORO," Muchas gracias, señor presidente. Muchas gracias, señora ministra. Le voy a ser muy concreta. Primero, quería solicitarle lo siguiente. El diputado Héctor Gómez y yo vivimos los primeros días, tanto él como yo tuvimos que intervenir con gente canaria que estaba por todo el mundo en situaciones difíciles. Le quiero decir una cosa, voy a ser positiva, creo que hubo cónsules y embajadores que se fajaron, que no tenían días ni noches, que se resolvieron, que hablaron con embajadores de otros países europeos y lo dieron todo, y hubo otros -tengo los correos del propio consulado- que a gente que les llamaban preguntando respondían: mándenos un correo que en cuarenta y ocho horas le contestaremos vía correo. Creo que la gente que lo ha dado todo, por ejemplo en Venezuela -que ha sido excepcional, con transparencia y con humanidad- se merece una felicitación del Gobierno de España y de este Congreso de los Diputados. Y creo que lo otro es una cuestión suya, interna, para quitar a algunas personas, a las que tuvieron que suplir cónsules alemanes que atendían por teléfono a españoles mientras los españoles estaban escondidos o viendo cómo regresaban ellos a otro sitio. Se lo digo en positivo. En segundo lugar, sabe usted que tanto el Parlamento como la Comisión han reconocido la especial dificultad de lo que viene ahora para las regiones ultraperiféricas, las especiales condiciones respecto al paro, al turismo, que exigen políticas distintas. Quiero saber si usted tiene prevista una estrategia conjunta con Francia y Portugal respecto a esta materia. Me pide un compañero que le pregunte si va a haber una solución europea para el paso del Estrecho, para los que transitan entre Francia, Alemania o España y Marruecos. También me gustaría conocer si va a haber condiciones comunes en materia de turismo y de transporte aéreo, porque lo que no puede ser es que Baleares diga que no va a pedir análisis, Canarias diga que sí, Grecia que no. . . Asimismo, me gustaría saber si va a haber un fondo de cooperación con Latinoamérica y el Gobierno de España en materia de suministros sanitarios. Muchas gracias, señor presidente. ",2020-06-09,100
30,PRESIDENTE," Gracias, señora Oramas. Por la CUP, tiene la palabra la señora Vehí Cantenys. ",2020-06-09,100
31,VEHÍ CANTENYS," Gracias, presidente. Buenas tardes. Gracias, ministra. Voy a ser muy breve porque tengo muy poco tiempo. Quería centrar mi intervención en preguntar a la señora ministra lo siguiente: Europa a cambio de qué. Es decir, ¿qué contrapartidas van a suponer todas estas ayudas que usted ha mencionado? ¿Qué van a suponer palabras como flexibilidad, protección de las cadenas de valor, etcétera? Porque la historia reciente nos dice que, cada vez que Europa pone dinero, aquí se bajan salarios; que cada vez que Europa pone dinero, aquí se paga la deuda y se modifica la Constitución, con alevosía y nocturnidad, como dirían algunos, para pagar antes la deuda que, por ejemplo, los servicios públicos, situación que hemos sufrido durante la crisis del COVID-19. El poder, desde nuestra perspectiva, no es un conjunto de gente mala, sino un entramado de instituciones europeas, en nuestro caso españolas, incluso de las comunidades autónomas y de los ayuntamientos. Le queríamos hablar, concretamente, del caso de Nissan, que se ha marchado de la Zona Franca de Barcelona. Desde nuestra perspectiva, incluso desde la del Gobierno de la Generalitat y de los trabajadores, la solución era que la planta estuviera bajo control público, que se pudiera reenfocar la producción y conservar los empleos. Pero la Unión Europea no permite nacionalizar fábricas, aunque hubo una excepción en 2008 cuando sí que nacionalizamos la banca, muchas bancas de hecho, que nunca nos han devuelto el dinero y nunca las hemos utilizado como bancas públicas. Pero Europa no permite, en el caso de Nissan, un caso tan flagrante, tomar el control público de la fábrica. Por lo tanto, señora ministra, Europa a cambio de qué. ¿De más modificaciones constitucionales para pagar deuda? ¿De bajar más salarios? ¿Europa a cambio de continuar siendo el patio de atrás de la Unión Europea, siendo el país donde pueden venir los jubilados a tomar el sol a cambio de que bajemos salarios? Desde nuestra perspectiva, Europa no es un entramado institucional ni democrático ni que permita la soberanía, ni en términos laborales -como le decíamos, solo se bajan salarios para mejorar esa flexibilidad de la que usted hablaba- ni en términos industriales ni tampoco en términos fronterizos. Usted no ha mencionado qué pasa con la política migratoria europea -termino, presidente-, no ha mencionado qué pasa con las miles de personas que mueren en el mar, y mueren en el mar por una política migratoria deliberada de la Unión Europea. Europa a cambio de qué, señora ministra. Gracias. ",2020-06-09,100
32,PRESIDENTE," Gracias, señora Vehí. Por el Grupo Parlamentario de Euskal Herria Bildu, tiene la palabra la señora Aizpurua Arzallus. ",2020-06-09,100
33,AIZPURUA ARZALLUS," Eskerrik asko, presidente. Eskerrik asko, ministra. La primera cuestión puede ser ya un clásico de nuestra formación política, porque el asunto de la frontera se lo traemos constantemente y lo hacemos porque está afectando a miles de personas en nuestra sociedad. Este domingo sabremos si los vascos podremos acudir a Cantabria o los cántabros al País Vasco, aunque la apertura con Iparralde, con el País Vasco del norte, parece que no se producirá hasta el día 1 de julio. Es una fecha unilateral, que no atiende a criterios científicos, tampoco a las solicitudes de Francia ni al criterio de la Comisión Europea. La semana pasada, la ministra de Comercio habló del día 22 de junio, pero posteriormente tuvo que rectificar. No sabemos la razón, pero sí vemos que, de alguna forma, se vincula toda esa decisión al turismo, tratando a los habitantes transfronterizos, los vascos del norte y del sur, como turistas, cuando para miles de personas, miles de ciudadanos, sus relaciones familiares, culturales y también económicas, se circunscriben a un territorio transfronterizo; es decir, no es lo mismo los que no podemos pasar de una provincia a otra que cuando el territorio natural es precisamente la frontera. No somos turistas; somos vascos y vascas de uno y otro lado de una frontera artificial, que supone, de facto, un doble confinamiento en estos momentos. Y no están escuchando a la ciudadanía; ni a la ciudadanía, ni a las autoridades locales, ni a los ayuntamientos, ni al Gobierno vasco, ni al Parlamento de Navarra, ni siquiera a la eurorregión. No se entiende, porque ustedes eran los que decían que esto no iba de fronteras, y lo primero que hicieron fue cerrarlas y enviar al Ejército, pero tampoco se entiende qué es lo que ocurre ahora, por qué no se abren, por qué sigue esa frontera cerrada. Otra cuestión que le quiero plantear es con respecto al plan de la Unión Europea. Nos tememos que los bienvenidos 750 000 millones de euros anunciados como transferencias no van a salir gratis; y mucho menos los 250 000 millones de euros, que son créditos que van a afectar a la deuda soberana. Es cierto que las medidas fiscales propuestas para obtener esos recursos suenan bien, la verdad es que suenan bien, pero estamos también a la espera de su concreción. En ese sentido, creemos importante señalar que los impuestos a las tecnológicas y a las grandes fortunas serían fundamentales para dar credibilidad y viabilidad a ese plan que se presenta. También, desde una lectura propia, de casa, en esta Unión Europea hay que señalar que son los Estados los que negocian, los que acuerdan y los que distribuyen; y las eurorregiones, las realidades institucionales descentralizadas y los entes locales son meros subalternos que, de alguna forma, ven el partido desde la grada. Es una especie de 155 europeo el que se nos aplica desde Europa, por lo menos en lo que se refiere a la gestión de la crisis del COVID-19. En este sentido, tengo tres preguntas, que van en la línea de la compañera de la CUP, porque de hecho hay quienes ya anuncian recortes en asuntos sociales y pensiones: cuál es su opinión sobre si hay exigencias por parte de la Comisión, si tendrán estas un coste social y cómo se van a repartir y gestionar; es decir, cuál va a ser el papel de las comunidades autónomas o incluso de las eurorregiones como grandes afectadas. Y ya que ha hecho unos cuantos símiles náuticos a lo largo de la intervención, voy a añadir una metáfora que creo que sirve ante los marcos establecidos desde Europa y es que, como bien saben los aficionados a navegar, no se puede cambiar la dirección del viento; es algo imposible, pero sí podemos ajustar las velas para llegar siempre al destino elegido. Quiero decir que el objetivo final depende también del recorrido que hagamos. Muchas gracias. Eskerrik asko. ",2020-06-09,100
34,PRESIDENTE," Muchas gracias, señora Aizpurua. Por el Grupo Parlamentario Ciudadanos, tiene la palabra la señora Martín Llaguno. ",2020-06-09,100
35,MARTÍN LLAGUNO," Gracias, señor presidente. Gracias, señora ministra. A mí también me gustaría comenzar, en primer lugar, recordando a las víctimas y a las personas que todavía están enfermas y a sus familias, y también agradeciendo, como ha hecho la señora Oramas, el trabajo de algunos funcionarios que, a título personal, han estado trabajando para que la gente pudiera volver a España. Nosotros, el día 4 de marzo, pedimos la creación de esta Comisión de seguimiento sobre el COVID, y en abril planteamos que una de las cuestiones fundamentales en las que teníamos que trabajar en esta Mesa era un acuerdo conjunto para ir a las políticas europeas. Nos parece fundamental, entre otras cosas, porque muchas de las medidas que se han propuesto, y que algunas de ellas las ha mencionado usted, son medidas que nosotros propusimos y que se han sacado adelante con el acuerdo de liberales, de socialistas y de populares. Sin embargo, le tengo que decir que este espíritu de colaboración que se ha utilizado, que ha estado en el Parlamento Europeo, no lo vemos claro en el Gobierno español; y no lo vemos claro porque, por ejemplo, el día 19 de junio ustedes van a tener un Consejo Europeo y no se han sentado a negociar con el resto de los grupos parlamentarios cuál es la posición conjunta que vamos a llevar a cabo. Es verdad que me va a decir que va a comparecer y que va a comparecer el secretario de Estado, pero esa es su obligación. Estamos en una situación muy extrema y creo que deberían tratar de negociar -además, usted es experta en eso- para llevar una posición conjunta consensuada. Porque, ¿sabe lo que pasa? Que tomar decisiones unilaterales, precipitadas y en la dirección contraria de nuestros socios europeos no es la mejor opción. Podría anunciar varias cosas, pero ustedes han anunciado reapertura de fronteras sin hablar ni siquiera con Portugal, luego han tenido que recular, etcétera, etcétera. Pero me quiero centrar en una cuestión muy importante que tiene que ver con la reputación de nuestro país y los turistas. ¿Cómo van a venir visitantes si no saben a ciencia cierta cuál es la situación epidemiológica de nuestro país? Y quiero insistir en esta cuestión porque ha hablado de valores democráticos y a mí me parece que la ocultación de datos o la no transparencia en la transmisión de datos es un valor democrático importante en estos momentos. El pasado 17 de abril yo hice una pregunta por escrito solicitando al Gobierno que me facilitara todos los contactos que se habían tenido con la Organización Mundial de la Salud y el Centro de alertas europeo. No solamente no me han contestado, sino que me han contestado con una respuesta evasiva, con un corta y pega vergonzoso que han mandado también a otro grupo sin darme ninguna solución, y le voy a hacer una pregunta muy clara: ¿Me van a facilitar la información de todos los contactos que han tenido con las organizaciones internacionales de la salud, sí o no? Y si no lo facilitan, ¿Por qué no lo están facilitando? ¿Cree usted que es muy constructivo tapar esta información, que es fundamental para saber qué ha fallado, si ha fallado el Gobierno, si han fallado las organizaciones internacionales y cómo podemos mejorar para futuras pandemias y para futuros rebrotes? Yo le adelanto que nosotros vamos a conseguir esos datos, los hemos pedido también en esta Mesa de Reconstrucción y siguen sin dárnoslos, y vamos a agotar todas las vías, porque los españoles, con más de 40 000 muertos, se lo merecen, porque sus familias se lo merecen y porque todos los españoles nos lo merecemos -incluidos ustedes- para saber cómo podemos mejorar y cómo podemos de alguna manera evitar que esto vuelva a suceder. Yo creo que esto es muy importante, y si ustedes quieren tener una imagen reputacional y que todos tengamos una imagen reputacional en Europa, lo primero que tenemos que tener en este país es transparencia. Gracias. ",2020-06-09,100
36,PRESIDENTE," Gracias, señora Martín. Dentro del Grupo Plural, por Más País-Equo tiene la palabra la señora Sabanés Nadal, por dos minutos. ",2020-06-09,100
37,SABANÉS NADAL," Gracias, presidente. En primer lugar, quiero hacer una precisión. El último acuerdo en el Parlamento Europeo fue aprobado por populares, liberales, socialdemócratas, verdes y el Grupo de Esquerra Republicana de Catalunya, porque usted viene repitiendo una imprecisión que a base de ser repetida puede que alguien se la crea, y quienes desde el principio lucharon de forma muy explícita por introducir los mecanismos de solidaridad en Europa fue el Partido Verde Europeo, con otros, pero la campaña que se hizo para introducir la solidaridad como mecanismo para el fondo ha sido muy importante. Bienvenida, señora ministra. Creo que ahora mismo lo que nos ocupa y una de las cuestiones más importantes, una vez aprobada la resolución en el Parlamento Europeo, es el acuerdo del Consejo. Por tanto, desde luego por parte de Más País-Equo no va a encontrar una palabra que pueda entorpecer un acuerdo que es vital para nuestro país y que está orientado por la capacidad de producir consensos, que tiene condicionantes -la transición ecológica, la emergencia climática, la transición energética, la digitalización, la biodiversidad, planes de industria con componentes también de sostenibilidad-, y en eso creo que nos tenemos que concentrar en este momento, y en ese sentido le preguntaría: ¿Qué previsiones en plazos tenemos para un posible acuerdo o qué inconvenientes podríamos tener? ¿Qué posibilidades se manejan de recursos propios -usted lo ha planteado, pero yo le pregunto- de la Unión Europea vinculadas al tema de paraísos fiscales, nuevas posibilidades? ¿Qué capacidad o qué voluntad tienen para reforzar la OMS -usted también ha citado algo así- o respecto a la cooperación, la solidaridad y la política de asilo y de cooperación? Respecto de todos estos elementos que le he planteado, me gustaría que, dentro del marco de que luchamos o deberíamos luchar todos por alcanzar ese acuerdo que resulta una emergencia para nuestro país, nos diera alguna información si es posible en este momento. ",2020-06-09,100
38,PRESIDENTE," Gracias, señora Sabanés. Por Junts per Catalunya, tiene la palabra la señora Illamola Dausà. ",2020-06-09,100
39,ILLAMOLA DAUSÀ," Muchas gracias. Muchas gracias, señora ministra, por su comparecencia. Me sumo a lo que ha comentado antes la señora Oramas y que ya había dicho en alguna otra ocasión en el sentido de que hay partes de la representación exterior del ministerio que han funcionado muy bien y en otros países no ha funcionado nada bien o poco bien, pero nos quedaremos de momento con la parte positiva y pensando en que se tenderá a mejorar. Usted ha dicho que hemos de saber de dónde venimos para saber a dónde queremos ir. Entonces, ¿qué modelo de Unión Europea quiere o va a defender el Gobierno de España que usted representa? Usted ha hablado aquí de autonomía estratégica, ¿entiendo con esto que van a defender un mercado interior en el que haya autoabastecimiento para no depender de países terceros y que aquí van a defender la aplicación de la regla de la solidaridad entre los Estados y no la de quien llama antes y quien contrata antes para poder abastecerse? Por tanto, ¿esto, quizá, no lo sé, podría ir en detrimento de acuerdos de libre comercio con terceros países porque se va a proteger más el comercio interior y la producción interior? Por lo que se refiere a la competencia de salud, como usted bien ha indicado, es una competencia complementaria, una competencia de apoyo. Por tanto, la Unión tiene muy limitado lo que puede y lo que no puede hacer. En este sentido, ¿piensa el Gobierno de España defender una postura igual a la que se ha hecho con la política económica, que tampoco es de la Unión, o en el inicio de Schengen, que se hizo fuera de la Unión Europea? ¿En este aspecto piensa defender España una postura más de intergubernamentalidad fuera de la Unión, ceder competencias y avanzar fuera de la Unión para después, quizás, con el tiempo integrarlo, lo mismo que se hizo con Schengen, o con algunos aspectos de la política económica en los que, fuera de la Unión Europea, los Estados han limitado sus competencias? ¿En este sentido, el Gobierno de España es proclive a utilizar esta vía para poder avanzar en este ámbito sin tener que reformar los tratados? En relación con el Fondo de Recuperación flexible, si le he entendido, bien, España pretende conseguir que se dé más dinero a los Estados más afectados. El criterio, en principio, me parece lógico, pero, ¿entonces cómo se hará internamente esta distribución de todo este dinero, de los fondos que nos vayan a llegar, qué criterio va a utilizar el Gobierno de España para distribuirlo entre las comunidades autónomas? ¿El criterio de donde haya más población o el criterio de donde haya más afectados? Porque si estamos hablando de unos fondos que son para la recuperación post COVID, tiene que ser según la afectación COVID. Muchas gracias. ",2020-06-09,100
40,PRESIDENTE," Muchas gracias, señora Llamola. Por el Grupo Parlamentario Republicano, tiene la palabra la señora Rosique i Saltor. ",2020-06-09,100
41,ROSIQUE I SALTOR," Muchas gracias por su intervención. Nosotros le plantearemos algunas cuestiones que nos preocupan y que nos ocupan. Empezaré con una cuestión de actualidad que no es únicamente europea -aunque también-: el Black Lives Matters. Hay que tomar ejemplo de las movilizaciones antirracistas masivas que están teniendo lugar en todo el mundo, con especial atención en los Estados Unidos y, en esto, la coherencia creemos que debe ser primordial. Nos preguntamos qué va a hacer el Gobierno español para acabar con la violencia policial en los Estados Unidos, pero sobre todo qué va a hacer con la violencia policial en la Unión Europea y en el Estado español. Aquí, la policía también [ha matado a personas por racismo] 1 y los Gobiernos españoles quizá no lo han potenciado tanto como Trump, del mismo modo, pero sí que han hecho oídos sordos y han permitido que se siga perpetuando el racismo institucional. ",2020-06-09,100
42,PRESIDENTE," Vamos a ver. Ha expresado usted la cuestión de que se ha matado por racismo, que estará en los tribunales, supongo, estará testificado por los tribunales, porque si no, no es cierta y si no es cierta, como es ofensiva, haremos que desaparezca del Diario de Sesiones. ",2020-06-09,100
43,ROSIQUE I SALTOR, No me gustaría que desapareciera del Diario de Sesiones. ,2020-06-09,100
44,PRESIDENTE, Pues desaparecerá. ,2020-06-09,100
45,ROSIQUE I SALTOR," Que conste en acta que no cuenta con mi posición a favor al respecto. Si quiere, la próxima vez vengo con un listado de [personas que se han matado por racismo] 2 institucional. (La señora Pastor Julián: Que se retire de nuevo) . ",2020-06-09,100
46,PRESIDENTE, Esta también se retira. 1 Palabras retiradas por la Presidencia de conformidad con el artículo 104. 3 del Reglamento de la Cámara. 2 Palabras retiradas por la Presidencia de conformidad con el artículo 104. 3 del Reglamento de la Cámara. ,2020-06-09,100
47,ROSIQUE I SALTOR," De acuerdo. Parece que no podemos decir nada y que la libertad de expresión también se viola aquí. En todo caso, me gustaría seguir, porque hay demasiadas cuestiones que nos preocupan y que queremos poner sobre la mesa. Sigo, si me permiten y puedo continuar con tranquilidad. Gracias. Nos gustaría también poner sobre la mesa que hay que hacer una apuesta clara por la cooperación poniendo el foco en la sanidad y en la educación. Hay algo que nos preocupa especialmente, que es el acceso al tratamiento del COVID-19. En el momento en que tengamos la vacuna que estamos esperando nos gustaría tener claro que las relaciones exteriores irán orientadas a conseguir que todas las personas sin excepción puedan acceder a esta vacuna. Esto sería tanto por justicia social como por motivos científicos. En tercer lugar, nos gustaría poner sobre la mesa que hay que empoderar a las entidades de cooperación territorial europea y a las redes de cooperación territorial para que gestionen directamente los fondos europeos. Estos fondos deberían ir de la Comisión Europea a las redes sin pasar por las autoridades centrales de los Estados. Esperamos que estén de acuerdo con ello. Por último, quiero acabar con una cuestión que ya ha comentado mi compañera de Bildu y que a nosotros también nos preocupa, y es que hay que prestar atención a los territorios fronterizos para remover los obstáculos jurídicos y técnicos que dificultan una gestión integrada de problemas comunes. Hay que tener presente que la gestión de las fronteras durante la crisis ha obviado esta realidad, más allá de permitir el paso de los trabajadores transfronterizos. Además, nos gustaría haber contado directamente con la gestión de las comunidades autónomas de forma coordinada, porque al fin y al cabo son las que conocen perfectamente la situación y las necesidades de estos territorios, y parece que no han contado con ellas. Muchas gracias. ",2020-06-09,100
48,PRESIDENTE," Gracias, señora Rosique. Por el Grupo Parlamentario Confederal de Unidas Podemos-En Comú Podem-Galicia en Común, tiene la palabra el señor Asens Llodrà. ",2020-06-09,100
49,ASENS LLODRÀ," Gracias, presidente. Señora ministra, usted ha hablado de Europa, de sus valores en los años cincuenta. Permítame que empiece recordando que el sueño de Europa como continente de paz y de justicia ha sido sepultado muchas veces a lo largo de la historia, pero siempre ha logrado despertar de nuevo. Despertó hace ochenta años en la resistencia de sus pueblos contra el fascismo o en la dignidad de los supervivientes de los campos de exterminio. Digo esto porque ahora que Trump en Estados Unidos y la extrema derecha aquí criminalizan el antifascismo, hay que reivindicar más que nunca la memoria de quienes arriesgaron su vida precisamente para defender ese mundo libre, esa Europa libre. Como entonces, a un lado y otro del Atlántico, ahora se baten a duelo dos proyectos que están en disputa: a un lado, el repliegue egoísta y el ajuste neoliberal, que lleva en su seno una semilla de miedo capaz de germinar los peores fantasmas del nacionalismo excluyente, del populismo punitivo o de la xenofobia; al otro lado, la promesa de una alternativa civilizatoria de cooperación y redistribución de la riqueza para que nadie quede atrás y sea una vacuna frente a los discursos del odio. Esa es, creo, señora ministra, la encrucijada en la que se encuentra la Unión Europea: o su descomposición bajo el dictado del despotismo financiero o su refundación, actualizando esa promesa de 'Nunca más' del constitucionalismo social de la posguerra frente a la barbarie. Nosotros creemos que la Unión Europea solo va a sobrevivir si asume que las bases materiales de su supervivencia tienen que ver con esa segunda opción y no se repiten los errores de 2008 con medidas de austeridad que, como sabemos, trajeron sufrimiento, desigualdad y exclusión. Por eso, celebramos que esa Europa solidaria de la que usted ha hablado vuelva a levantar la cabeza por primera vez en muchos años. Hay muchas incógnitas, hay muchas asignaturas pendientes -la reforma del Banco Central Europeo, acabar con los paraísos fiscales, un sistema impositivo europeo-, pero es evidente que el hecho de que hoy no se hable de recortes y sí de planes de inversión vinculados a la transición ecológica es un cambio de paradigma que pone a Europa en la misma dirección que está siguiendo este Gobierno, y eso creo que no es casualidad. Creo que tiene que ver con el hecho de que este Gobierno ha ejercido más liderazgo europeo en su corto tiempo de vida que todos los Gobiernos del Partido Popular, de Rajoy y de Aznar, bajo la sombra de la señora Merkel. Porque hablar de políticas expansivas, de inversión pública y de protección de la demanda interna no es hablar de los intereses de Podemos; es hablar de los intereses de España. Señorías de la derecha, si quieren defender a España defiéndanla ante Alemania y Holanda y dejen de avergonzarnos con la peor versión del aznarismo arrodillado ante Trump. Tampoco es casualidad que ahora el FMI defienda medidas como el ingreso mínimo vital cuando hasta hace poco éramos los únicos en defenderlo. Supongo que para VOX eso ahora significará que el FMI se ha sumado a lo que ellos llaman conspiración de la primavera progre, pero para nosotros eso es la prueba de su soledad en la defensa de sus privilegios. Por último, presidente, esta oportunidad para democratizar Europa y reconstruirla desde sus valores fundacionales tiene su principal punta de lanza en los municipios como espacio de modernización, punto de referencia donde se han producido las principales luchas democráticas a lo largo de la historia. Decía Pasqual Maragall que el futuro de Europa es el futuro de las ciudades. Por eso, nosotros pensamos que tenemos que reforzar su financiación, y para nosotros eso pasa por destinar, al menos, el 14 % de los fondos europeos hacia los ayuntamientos. Me gustaría saber su opinión, porque nosotros pensamos que no puede ser que sean la avanzadilla y luego los últimos en socorrer cuando, en verdad, son la primera trinchera, son el primer dique de contención ante los efectos de la crisis, y eso lo sabemos sobre todo quienes venimos de Gobiernos municipalistas. Defender a los ayuntamientos es defender a Europa. Muchas gracias. ",2020-06-09,100
50,PRESIDENTE," Gracias, señor Asens. Por el Grupo Parlamentario VOX, tiene la palabra el señor Fernández-Roca Suárez. ",2020-06-09,100
51,FERNÁNDEZ-ROCA SUÁREZ," Gracias, presidente. Muchas gracias, señora ministra, por su exposición. Resulta curioso que se hable de garantizar derechos humanos en el mundo mientras en España ustedes aprobaron un estado de excepción encubierto, que ha cercenado el ejercicio de hasta once derechos fundamentales y libertades públicas que nos asisten a todos los españoles. Por lo tanto, empiecen por garantizar los derechos humanos y fundamentales en España. Usted ha hablado de la convención sobre el futuro de Europa. No parece que desde los prejuicios ideológicos se den los mimbres adecuados para reconstruir la Europa que necesitan los europeos, y lo digo apuntando a la discriminación por razón de religión que desde su Gobierno socialcomunista se está realizando en España, señora ministra. ¿Qué le parece que desde su ministerio se haya felicitado el Ramadán a los musulmanes y no se haya felicitado a los católicos la Semana Santa? Porque el CIS, nada sospechoso para los socialistas, indica que el 70 % de la población española es católica. ¿No le parece esto una discriminación a más de 32 millones de españoles? Lo que pasa es que a ustedes les sobra más del 70 % de la población, de la nave esa de la que nos ha hablado esta tarde. ¿Qué significa para usted regular la inmigración de forma justa y solidaria? ¿El efecto llamada provocado por el ingreso mínimo vital? Nosotros condenamos a las mafias internacionales de tráfico de personas que están detrás de la tragedia de poner a miles de personas en el mar y que se lucran por ello con millones de euros, pero propiciar efectos llamada desde el Gobierno es una irresponsabilidad, porque el poco dinero que tenemos está para pagar a los españoles que se han quedado sin trabajo, que en ocasiones vemos engrosar las colas del paro y a los que no les llegan los ERTE. España no tiene capacidad para pagar a estos inmigrantes; no les engañen, señora ministra. Usted dijo que el acuerdo de Gibraltar resuelve la soberanía fiscal a favor de España; lo que no dice es que hemos perdido otra ocasión más de hacer valer nuestros derechos e intereses en Europa y hemos reconocido, de facto, la triste condición de que España es un país colonizado por primera vez en trescientos años. Permiten una base militar extranjera en la bahía de Algeciras, con el riesgo nuclear que ello conlleva y que los narcos sigan campando a sus anchas blanqueando el paraíso fiscal de Gibraltar y luego ustedes denunciarán el dumping fiscal en Europa. Empiecen de una vez a defender los intereses de España en Europa, que es lo que tiene que hacer. Ustedes, que son muy pro agenda verde europea, por qué no denuncian la contaminación de la bahía de Algeciras con las prácticas de bunkering, señora ministra? ¿Cómo encaja todo esto en el marco de la neutralidad climática de la presidenta Ursula von der Leyen? ¿Cómo va el pulso de Marruecos a costa de las aguas territoriales de Canarias? ¿Le ha mostrado a su homólogo la preocupación que le transmití hace unos meses? ¿Han sacado ya la escuadra y el cartabón, como me dijo, y se han apropiado ya del monte Tropic, al sur de la isla de El Hierro, la mayor reserva de telurio existente en el mundo? Pero su Gobierno socialcomunista, ¿cómo va a defender nuestros intereses si no han sido capaces de defender a nuestros agricultores del indigno reportaje de la BBC sobre el campo almeriense? No solo no nos han defendido, sino que su compañera, la ministra Yolanda Díaz, ha alimentado esa polémica cuando nuestros productos son los que están sometidos a mayores controles fitosanitarios y encima tenemos que luchar contra la competencia desleal desde fuera de la Unión Europea, donde realmente la mano de obra sí que, por desgracia, es esclava y los productos no están sometidos a los mismos controles que aquí, en España. ¿Su Gobierno va a defender los intereses de los agricultores en relación con la propuesta del Consejo Europeo que reducirá la PAC en 34 600 millones de euros hasta 2027, todo ello para pagar los 41 840 millones de euros al Paquete de medio ambiente y clima? Mucho nos tememos que no. Del sector del automóvil casi mejor ni preguntar. ¿Se va a repetir el cierre de plantas como la de Nissan en Barcelona? Señorías, no me cansaré de repetirlo, el objetivo en esta Comisión de Reconstrucción es salvar vidas y empleos; no lo olvidemos, señora ministra. Usted conoce que la condicionalidad de los fondos de rescate europeos va a ser el cumplimiento de la neutralidad climática y que los fondos económicos van a acabar en las grandes empresas y no en las pymes, porque las pymes van a tener que cumplir hasta siete directivas europeas y no van a poder cumplirlas. Como usted bien sabe, en España las que crean empleo son las pymes y ni siquiera van a poder levantar su persiana. Nosotros estamos instalados en la reducción del gasto político ineficaz y en acabar con la financiación de los chiringuitos ideológicos en Europa que no sirven para nada. El dinero tiene que estar en el bolsillo de los europeos y no en el de los chiringuitos y lobbies; lobbies, por cierto, que son los que están fijando la agenda política y económica en Europa. En España hemos decidido liderar la lucha. . . ",2020-06-09,100
52,PRESIDENTE," Señor Fernández-Roca, debe concluir. ",2020-06-09,100
53,FERNÁNDEZ-ROCA SUÁREZ," Acabo ya, presidente. En España hemos decidido liderar la lucha contra el cambio climático y alcanzar la neutralidad climática en 2050. Señorías, ¿por qué no apostamos, por ejemplo, por liderar la creación de empleos, señora ministra? Ya que son tan proagenda verde, ¿por qué no exigen a China que cumpla con los Acuerdos de París? Pero, claro, esto supondría dejar de regar con dinero a los chiringuitos eco-radicales y dárselo a nuestras pymes, que son realmente las que necesitan este dinero. Esto también sería perjudicar a las empresas, a las grandes empresas que producen en China. . . ",2020-06-09,100
54,PRESIDENTE," Señor Fernández-Roca, concluya. ",2020-06-09,100
55,FERNÁNDEZ-ROCA SUÁREZ, Concluyo ya. . . . y obtienen beneficios condenando al paro a los europeos. ¿Vamos a impulsar una investigación desde Europa sobre el origen y expansión del virus de Wuhan? ,2020-06-09,100
56,PRESIDENTE," Concluir es concluir, no es seguir. ",2020-06-09,100
57,FERNÁNDEZ-ROCA SUÁREZ, Le quería recordar las declaraciones del expresidente Zapatero hace unos días. ¿No le parece que este tipo de declaraciones y la política de su Gobierno nos hacen perder contratos como el de Navantia? ,2020-06-09,100
58,PRESIDENTE," No, no, señor Fernández-Roca, concluya. ",2020-06-09,100
59,FERNÁNDEZ-ROCA SUÁREZ," Muchas gracias, presidente. ",2020-06-09,100
60,PRESIDENTE, Muchas gracias. (El señor Asens Llodrà pide la palabra) . ,2020-06-09,100
61,ASENS LLODRÀ," Presidente, quería hacer una mención porque el diputado ha hablado del efecto llamada del ingreso mínimo vital. Es una opinión, en efecto. . . ",2020-06-09,100
62,PRESIDENTE, Es una opinión que no tiene contestación. ,2020-06-09,100
63,ASENS LLODRÀ," Sí, pero también era una opinión hablar del racismo institucional. No es un concepto jurídico, es una valoración. ",2020-06-09,100
64,PRESIDENTE," Perdón, quien regula el debate es el presidente. No se regula desde otros espacios. Las opiniones. . . ",2020-06-09,100
65,ASENS LLODRÀ," Lo que queremos, señor presidente, es que se asuma un mismo baremo, que no se cambie el baremo en función de quién intervenga. ",2020-06-09,100
66,PRESIDENTE," No, no se cambia el baremo. Regula los debates el presidente, en este caso, la Presidencia. ",2020-06-09,100
